iter	Passed	Remaining
401	17030	25333
402	17075	25294
403	17114	25247
404	17152	25199
405	17192	25152
406	17231	25105
407	17269	25057
408	17312	25016
409	17352	24970
410	17391	24924
411	17430	24876
412	17478	24842
413	17519	24798
414	17565	24761
415	17607	24717
416	17645	24670
417	17684	24623
418	17722	24574
419	17761	24527
420	17805	24487
421	17844	24440
422	17882	24393
423	17921	24346
424	17961	24300
425	18000	24254
426	18044	24214
427	18084	24168
428	18123	24122
429	18162	24076
430	18202	24031
431	18244	23988
432	18293	23955
433	18334	23910
434	18384	23878
435	18423	23832
436	18462	23785
437	18501	23739
438	18547	23702
439	18588	23658
440	18631	23616
441	18673	23574
442	18714	23530
443	18752	23483
444	18798	23445
445	18838	23400
446	18878	23355
447	18927	23320
448	18973	23284
449	19014	23239
450	19059	23200
451	19098	23155
452	19137	23108
453	19177	23063
454	19215	23016
455	19255	22971
456	19309	22942
457	19366	22918
458	19409	22877
459	19453	22836
460	19495	22793
461	19538	22752
462	19603	22736
463	19648	22697
464	19690	22654
465	19732	22612
466	19777	22573
467	19819	22529
468	19864	22490
469	19904	22445
470	19943	22399
471	19984	22355
472	20030	22316
473	20069	22271
474	20115	22232
475	20155	22187
476	20197	22144
477	20247	22110
478	20293	22072
479	20334	22028
480	20382	21993
481	20424	21950
482	20466	21906
483	20508	21864
484	20552	21824
485	20595	21782
486	20642	21744
487	20684	21701
488	20726	21659
489	20768	21615
490	20810	21573
491	20851	21529
492	20896	21490
493	20938	21447
494	20979	21403
495	21020	21359
496	21063	21317
497	21103	21273
498	21150	21234
499	21191	21191
500	21238	21154
501	21288	21118
502	21339	21084
503	21385	21045
504	21456	21031
505	21527	21017
506	21606	21009
507	21660	20978
508	21706	20939
509	21752	20899
510	21802	20864
511	21847	20823
512	21893	20784
513	21938	20742
514	21982	20701
515	22029	20662
516	22078	20626
517	22122	20584
518	22164	20541
519	22207	20499
520	22252	20458
521	22295	20415
522	22343	20378
523	22385	20334
524	22425	20289
525	22465	20244
526	22505	20199
527	22548	20157
528	22595	20118
529	22635	20073
530	22676	20028
531	22716	19983
532	22762	19943
533	22803	19899
534	22852	19862
535	22894	19819
536	22943	19781
537	22994	19746
538	23042	19708
539	23106	19683
540	23177	19664
541	23225	19625
