iter	Logloss
0	0.6764898255
1	0.6620200443
2	0.6483945773
3	0.6364967205
4	0.6258519581
5	0.6161685024
6	0.6067887072
7	0.5990186504
8	0.5921147793
9	0.5846588898
10	0.5785739775
11	0.5721844186
12	0.5664783401
13	0.562197829
14	0.55822631
15	0.5545045671
16	0.5505993606
17	0.547512872
18	0.5440765198
19	0.5411860549
20	0.5382697396
21	0.535262265
22	0.5326733359
23	0.5301273703
24	0.5278043513
25	0.5255006449
26	0.5236810722
27	0.5218022767
28	0.5199730034
29	0.5182887688
30	0.5167245653
31	0.5151747472
32	0.5136246301
33	0.5125259049
34	0.5109099338
35	0.5094240213
36	0.5083615912
37	0.5068893905
38	0.5057210951
39	0.5043685876
40	0.5032274236
41	0.5015922003
42	0.5005372358
43	0.4993012376
44	0.4982129404
45	0.4971533804
46	0.496231801
47	0.4955236325
48	0.4944753609
49	0.4934514088
50	0.4927096872
51	0.4919103772
52	0.4908903177
53	0.4898806846
54	0.4889665078
55	0.4883261436
56	0.4874468734
57	0.4867961265
58	0.4859796752
59	0.4851200619
60	0.4840740296
61	0.4832667737
62	0.4824173233
63	0.4817030351
64	0.4808042702
65	0.4801906432
66	0.4795330823
67	0.4786807158
68	0.4778952532
69	0.4771027314
70	0.4763660278
71	0.4759390243
72	0.4750610491
73	0.4743313344
74	0.4736755368
75	0.472980949
76	0.4724288036
77	0.4717480618
78	0.4712623152
79	0.4707013464
80	0.4701105684
81	0.4694455946
82	0.4688188589
83	0.4685209918
84	0.4680068528
85	0.4676043466
86	0.4669926588
87	0.4663442722
88	0.4656360539
89	0.4648657475
90	0.4642007187
91	0.4635881813
92	0.4630018305
93	0.4622731572
94	0.4618328465
95	0.461394777
96	0.4605912055
97	0.4601176298
98	0.459464893
99	0.4590161595
100	0.4586196092
101	0.4581090962
102	0.4575495364
103	0.4571044657
104	0.4566520518
105	0.456241701
106	0.4558416472
107	0.4552265928
108	0.4547182521
109	0.4541214685
110	0.4535084483
111	0.4528170034
112	0.4524198991
113	0.4518240618
114	0.4512962618
115	0.4507145566
116	0.4501417357
117	0.4495129207
118	0.4488893804
119	0.4484690767
120	0.448024579
121	0.4477269832
122	0.4471520391
123	0.4468467938
124	0.4463348813
125	0.4457415749
126	0.445379483
127	0.4449245614
128	0.4443777421
129	0.4438999572
130	0.443554084
131	0.4430528435
132	0.4427132837
133	0.4422429258
134	0.4416601341
135	0.441229654
136	0.4408115589
137	0.4403692722
138	0.440028693
139	0.4397619094
140	0.4394565521
141	0.4390702902
142	0.4386799213
143	0.4381012861
144	0.4377326838
145	0.437195614
146	0.43666517
147	0.4361601764
148	0.4357753467
149	0.4353904803
150	0.4349401247
151	0.434354883
152	0.434037313
153	0.433657797
154	0.4331054838
155	0.4325174069
156	0.4319925683
157	0.4314343076
158	0.4309426531
159	0.4305164481
160	0.430093976
161	0.42971934
162	0.4294197857
163	0.4290591526
164	0.4286124641
165	0.4282634826
166	0.4277150303
167	0.4271356076
168	0.4266168912
169	0.4263031998
170	0.4258349802
171	0.425213287
172	0.4247824631
173	0.4244630467
174	0.4239750211
175	0.4233120917
176	0.4229069672
177	0.4226521698
178	0.4222537929
179	0.4218343492
180	0.4214632247
181	0.4210320719
182	0.4205103581
183	0.4200295967
184	0.4195385071
185	0.4187913533
186	0.4182420814
187	0.4177217585
188	0.4170440872
189	0.4164104372
190	0.4157763898
191	0.4152522153
192	0.4148410697
193	0.4143923062
194	0.4139026935
195	0.4133970797
196	0.4129068172
197	0.4125160516
198	0.4120693066
199	0.4115849559
200	0.4109905106
201	0.4105149923
202	0.4100524199
203	0.4097108159
204	0.4089621986
205	0.4085699098
206	0.4081677046
207	0.4076428392
208	0.4072203496
209	0.4066143233
210	0.406225843
211	0.4056009876
212	0.4052581784
213	0.404677783
214	0.4039878666
215	0.4036687378
216	0.4030447969
217	0.4025695286
218	0.4020789198
219	0.4017981465
220	0.4012121134
221	0.4005280623
222	0.399890175
223	0.3997819097
224	0.3993107953
225	0.3987538776
226	0.3980282578
227	0.3975237325
228	0.3969943711
229	0.3965173895
230	0.3960759777
231	0.3956472748
232	0.3950040054
233	0.3944329386
234	0.3940724305
235	0.3934613252
236	0.3929699072
237	0.3924954766
238	0.3919857196
239	0.3919188484
240	0.391519576
241	0.3912017631
242	0.3905989912
243	0.3901711283
244	0.389682023
245	0.3894749361
246	0.38939793
247	0.388748135
248	0.3884254535
249	0.3879359339
250	0.3875152828
251	0.3869304248
252	0.3864075091
253	0.3860642361
254	0.3856039365
255	0.3854376661
256	0.384749257
257	0.3843028975
258	0.3838588355
259	0.3831436392
260	0.3826198265
261	0.3819387007
262	0.3813989867
263	0.3810703833
264	0.3809544446
265	0.3804286886
266	0.3798404793
267	0.3797667862
268	0.3792119743
269	0.3786961959
270	0.3783782089
271	0.3779989456
272	0.3774422053
273	0.3768242426
274	0.3761695274
275	0.3757621157
276	0.3752998118
277	0.37471133
278	0.3742720592
279	0.3736073671
280	0.372980392
281	0.3725041754
282	0.3718831616
283	0.3712695947
284	0.3707218488
285	0.3702193161
286	0.369774502
287	0.3692272472
288	0.3688071466
289	0.3683318155
290	0.3679321395
291	0.3674677114
292	0.3670018256
293	0.3664556035
294	0.3660580498
295	0.3656175403
296	0.365159623
297	0.3646743915
298	0.3642222861
299	0.3637651937
300	0.363378622
301	0.362838518
302	0.3623665526
303	0.3621263995
304	0.361735826
305	0.3613819307
306	0.3609443951
307	0.3604511978
308	0.3599648191
309	0.3595626158
310	0.3589545491
311	0.3586011119
312	0.358293116
313	0.3578611156
314	0.3573350594
315	0.3567603308
316	0.3562512773
317	0.3557957578
318	0.355378243
319	0.355223313
320	0.3547315224
321	0.3546720427
322	0.3541789309
323	0.3537648944
324	0.3535828796
325	0.3531508188
326	0.3527162698
327	0.3522620879
328	0.3518837041
329	0.3514729692
330	0.3511019436
331	0.3506101714
332	0.3501640576
333	0.3497920455
334	0.3491491527
335	0.3486676403
336	0.3480800948
337	0.3478280453
338	0.3475498509
339	0.3471756168
340	0.3466683209
341	0.3462440594
342	0.3459827728
343	0.3458641564
344	0.3455061927
345	0.3450524361
346	0.3447016081
347	0.3443761204
348	0.3439231499
349	0.3434861677
350	0.3430669593
351	0.3427145048
352	0.3425156774
353	0.3420023346
354	0.3419425375
355	0.3414915389
356	0.3410762901
357	0.3405290947
358	0.3400212447
359	0.3395962846
360	0.3393374004
361	0.3390323388
362	0.3386841868
363	0.3383104364
364	0.3380330907
365	0.3377178683
366	0.3372152864
367	0.3366478117
368	0.3362565609
369	0.3361624884
370	0.3358041151
371	0.3354733559
372	0.335048567
373	0.334707041
374	0.334255999
375	0.3337761617
376	0.3332771223
377	0.3328204912
378	0.3324285757
379	0.3320464365
380	0.3317793451
381	0.331250711
382	0.331058142
383	0.3305617422
384	0.3301425083
385	0.3297498617
386	0.3294124342
387	0.3290104619
388	0.3287803924
389	0.3283636637
390	0.3278500404
391	0.3274646528
392	0.3271712566
393	0.326926183
394	0.3265333835
395	0.3260637002
396	0.3256703521
397	0.3253442967
398	0.3248856467
399	0.324533567
400	0.3241578775
401	0.3238908949
402	0.3235524042
403	0.3231480436
404	0.3227800028
405	0.3224192236
406	0.3221000822
407	0.3218559844
408	0.3217137349
409	0.321402861
410	0.3210167429
411	0.3208294881
412	0.3205291589
413	0.3202876969
414	0.3198536562
415	0.3194519781
416	0.3190655796
417	0.3188151275
418	0.3185692519
419	0.31813394
420	0.3178206747
421	0.3174224003
422	0.3170684488
423	0.316871138
424	0.3164935306
425	0.3162491004
426	0.3161925076
427	0.3156763506
428	0.3154205641
429	0.3150457738
430	0.3148694711
431	0.3143927115
432	0.3140396568
433	0.3137408298
434	0.3132471004
435	0.3129103945
436	0.3126609546
437	0.3124151974
438	0.311950891
439	0.3117415264
440	0.3113879487
441	0.3111706987
442	0.3107501771
443	0.310724371
444	0.3104481986
445	0.3101047207
446	0.3098183925
447	0.3093085212
448	0.3088639046
449	0.3086149743
450	0.3082807155
451	0.3078613649
452	0.3075280242
453	0.3071641771
454	0.3069069972
455	0.3066307718
456	0.3061808124
457	0.3057924877
458	0.305379577
459	0.3049600615
460	0.3046356548
461	0.3041742855
462	0.3037940207
463	0.3035353849
464	0.3032967671
465	0.3030311986
466	0.3027279782
467	0.3023362713
468	0.302124256
469	0.3018285267
470	0.301434172
471	0.3012241323
472	0.3009201728
473	0.3005690133
474	0.3001676322
475	0.2998218551
476	0.2995126864
477	0.2994766422
478	0.2991634813
479	0.298810419
480	0.2984238326
481	0.2983993666
482	0.2981104121
483	0.2978970419
484	0.2975913445
485	0.2972755431
486	0.2969434818
487	0.2967073789
488	0.2964202112
489	0.296109835
490	0.2957148558
491	0.2953169785
492	0.295287241
493	0.2949270111
494	0.2946721767
495	0.2943694087
496	0.2939409604
497	0.2936103213
498	0.2931426789
499	0.2927801582
500	0.2925200342
501	0.2922534382
502	0.2919218012
503	0.2915280377
504	0.2910521484
505	0.2907081859
506	0.290340567
507	0.2900114329
508	0.2896041047
509	0.2894573824
510	0.2892214529
511	0.2888591459
512	0.2884901559
513	0.288087928
514	0.2876885296
515	0.2872161909
516	0.2870781561
517	0.2868049042
518	0.2864396488
519	0.2860857147
520	0.2857786613
521	0.2854614963
522	0.2851610072
523	0.2847977799
524	0.284447103
525	0.2841596829
526	0.2837602024
527	0.2833709111
528	0.2830680367
529	0.2827812547
530	0.2823893554
531	0.2822149089
532	0.2818034081
533	0.2815552372
534	0.2811953299
535	0.2809398496
536	0.2806471335
537	0.2803141401
538	0.2800872292
539	0.2797707442
540	0.279454412
541	0.279104609
542	0.2787860687
543	0.2784697666
544	0.2781478705
545	0.2777634704
546	0.2773841479
547	0.2771249639
548	0.2771034442
549	0.2767373197
550	0.2765007328
551	0.2761574658
552	0.2758048355
553	0.2756241575
554	0.2754620656
555	0.2751175473
556	0.2748284419
557	0.2744582887
558	0.2740575346
559	0.2738280469
560	0.2734836684
561	0.2731559462
562	0.2729153356
563	0.2725475497
564	0.2721727585
565	0.2719149221
566	0.2716963687
567	0.2715929614
568	0.2714226922
569	0.2711344837
570	0.270803986
571	0.2705403155
572	0.2703661479
573	0.270074916
574	0.2699381476
575	0.2696381664
576	0.2694282236
577	0.269071192
578	0.2687981156
579	0.2685259499
580	0.2683403358
581	0.2681101889
582	0.2678532256
583	0.2675363501
584	0.2674011101
585	0.2670793893
586	0.2669064148
587	0.2666065671
588	0.2663535536
589	0.2661158858
590	0.2659166664
591	0.2656295638
592	0.2654694736
593	0.2651231964
594	0.2650011767
595	0.2647256929
